Start,Finish,Steps,Distance,Weight
10/23/2015 0:00,10/24/2015 0:00,1686,0.839075361,
10/24/2015 0:00,10/25/2015 0:00,1253,0.622663644,
10/25/2015 0:00,10/26/2015 0:00,3891,1.802812156,
10/26/2015 0:00,10/27/2015 0:00,692,0.352093772,
10/27/2015 0:00,10/28/2015 0:00,539,0.243123906,
10/28/2015 0:00,10/29/2015 0:00,649,0.319981309,
10/29/2015 0:00,10/30/2015 0:00,8086,3.747099958,
10/30/2015 0:00,10/31/2015 0:00,1420,0.692623827,
10/31/2015 0:00,11/1/2015 0:00,1399,0.662321954,
11/1/2015 0:00,11/2/2015 0:00,2602,1.292226351,
11/2/2015 0:00,11/3/2015 0:00,1106,0.54537947,
11/3/2015 0:00,11/4/2015 0:00,1887,0.900539317,
11/4/2015 0:00,11/5/2015 0:00,575,0.261060696,
11/5/2015 0:00,11/6/2015 0:00,2179,1.098087982,
11/6/2015 0:00,11/7/2015 0:00,1154,0.554822338,
11/7/2015 0:00,11/8/2015 0:00,3146,1.451942212,
11/8/2015 0:00,11/9/2015 0:00,1514,0.696204754,
11/9/2015 0:00,11/10/2015 0:00,964,0.495605587,
11/10/2015 0:00,11/11/2015 0:00,1147,0.555247243,
11/11/2015 0:00,11/12/2015 0:00,1767,0.870054073,
11/12/2015 0:00,11/13/2015 0:00,1008,0.501173149,
11/13/2015 0:00,11/14/2015 0:00,425,0.214012666,
11/14/2015 0:00,11/15/2015 0:00,692,0.338412948,106.8
11/15/2015 0:00,11/16/2015 0:00,27,0.018305595,
11/16/2015 0:00,11/17/2015 0:00,317,0.168074694,
11/17/2015 0:00,11/18/2015 0:00,529,0.244577915,
11/18/2015 0:00,11/19/2015 0:00,519,0.243496729,
11/19/2015 0:00,11/20/2015 0:00,479,0.23929626,
11/20/2015 0:00,11/21/2015 0:00,457,0.217355643,
11/21/2015 0:00,11/22/2015 0:00,4395,2.023307309,
11/22/2015 0:00,11/23/2015 0:00,1126,0.555730544,
11/23/2015 0:00,11/24/2015 0:00,474,0.206910393,
11/24/2015 0:00,11/25/2015 0:00,1617,0.757053517,
11/25/2015 0:00,11/26/2015 0:00,929,0.431498706,
11/26/2015 0:00,11/27/2015 0:00,1223,0.685669437,
11/27/2015 0:00,11/28/2015 0:00,1231,0.589301332,
11/28/2015 0:00,11/29/2015 0:00,715,0.394247594,
11/29/2015 0:00,11/30/2015 0:00,1907,0.967823461,
11/30/2015 0:00,12/1/2015 0:00,686,0.355915205,
12/1/2015 0:00,12/2/2015 0:00,667,0.332079406,
12/2/2015 0:00,12/3/2015 0:00,3184,1.392654398,
12/3/2015 0:00,12/4/2015 0:00,5562,2.570898225,
12/4/2015 0:00,12/5/2015 0:00,7169,3.541439564,
12/5/2015 0:00,12/6/2015 0:00,1408,0.705678845,
12/6/2015 0:00,12/7/2015 0:00,113,0.059185606,
12/7/2015 0:00,12/8/2015 0:00,74,0.039581345,
12/8/2015 0:00,12/9/2015 0:00,165,0.084500268,
12/9/2015 0:00,12/10/2015 0:00,74,0.057110226,
