Start,Finish,Steps
10/23/2015 7:00,10/23/2015 8:00,203
10/23/2015 8:00,10/23/2015 9:00,0
10/23/2015 9:00,10/23/2015 10:00,0
10/23/2015 10:00,10/23/2015 11:00,0
10/23/2015 11:00,10/23/2015 12:00,0
10/23/2015 12:00,10/23/2015 13:00,0
10/23/2015 13:00,10/23/2015 14:00,0
10/23/2015 14:00,10/23/2015 15:00,0
10/23/2015 15:00,10/23/2015 16:00,0
10/23/2015 16:00,10/23/2015 17:00,240
10/23/2015 17:00,10/23/2015 18:00,19
10/23/2015 18:00,10/23/2015 19:00,766
10/23/2015 19:00,10/23/2015 20:00,458
10/23/2015 20:00,10/23/2015 21:00,0
10/23/2015 21:00,10/23/2015 22:00,0
10/23/2015 22:00,10/23/2015 23:00,0
10/23/2015 23:00,10/24/2015 0:00,0
10/24/2015 0:00,10/24/2015 1:00,0
10/24/2015 1:00,10/24/2015 2:00,0
10/24/2015 2:00,10/24/2015 3:00,0
10/24/2015 3:00,10/24/2015 4:00,0
10/24/2015 4:00,10/24/2015 5:00,0
10/24/2015 5:00,10/24/2015 6:00,0
10/24/2015 6:00,10/24/2015 7:00,0
10/24/2015 7:00,10/24/2015 8:00,0
10/24/2015 8:00,10/24/2015 9:00,0
10/24/2015 9:00,10/24/2015 10:00,0
10/24/2015 10:00,10/24/2015 11:00,0
10/24/2015 11:00,10/24/2015 12:00,0
10/24/2015 12:00,10/24/2015 13:00,0
10/24/2015 13:00,10/24/2015 14:00,9
10/24/2015 14:00,10/24/2015 15:00,0
10/24/2015 15:00,10/24/2015 16:00,253
10/24/2015 16:00,10/24/2015 17:00,269
10/24/2015 17:00,10/24/2015 18:00,586
10/24/2015 18:00,10/24/2015 19:00,0
10/24/2015 19:00,10/24/2015 20:00,0
10/24/2015 20:00,10/24/2015 21:00,0
10/24/2015 21:00,10/24/2015 22:00,76
10/24/2015 22:00,10/24/2015 23:00,60
10/24/2015 23:00,10/25/2015 0:00,0
10/25/2015 0:00,10/25/2015 1:00,0
10/25/2015 1:00,10/25/2015 2:00,0
10/25/2015 2:00,10/25/2015 3:00,0
10/25/2015 3:00,10/25/2015 4:00,0
10/25/2015 4:00,10/25/2015 5:00,0
10/25/2015 5:00,10/25/2015 6:00,0
10/25/2015 6:00,10/25/2015 7:00,0
10/25/2015 7:00,10/25/2015 8:00,0
10/25/2015 8:00,10/25/2015 9:00,0
10/25/2015 9:00,10/25/2015 10:00,0
10/25/2015 10:00,10/25/2015 11:00,43
10/25/2015 11:00,10/25/2015 12:00,8
10/25/2015 12:00,10/25/2015 13:00,458.0207398
10/25/2015 13:00,10/25/2015 14:00,1332.125529
10/25/2015 14:00,10/25/2015 15:00,990.8537315
10/25/2015 15:00,10/25/2015 16:00,12
10/25/2015 16:00,10/25/2015 17:00,82
10/25/2015 17:00,10/25/2015 18:00,156
10/25/2015 18:00,10/25/2015 19:00,0
10/25/2015 19:00,10/25/2015 20:00,0
10/25/2015 20:00,10/25/2015 21:00,768
10/25/2015 21:00,10/25/2015 22:00,41
10/25/2015 22:00,10/25/2015 23:00,0
10/25/2015 23:00,10/26/2015 0:00,0
10/26/2015 0:00,10/26/2015 1:00,0
10/26/2015 1:00,10/26/2015 2:00,0
10/26/2015 2:00,10/26/2015 3:00,0
10/26/2015 3:00,10/26/2015 4:00,0
10/26/2015 4:00,10/26/2015 5:00,0
10/26/2015 5:00,10/26/2015 6:00,0
10/26/2015 6:00,10/26/2015 7:00,0
10/26/2015 7:00,10/26/2015 8:00,153
10/26/2015 8:00,10/26/2015 9:00,82
10/26/2015 9:00,10/26/2015 10:00,0
10/26/2015 10:00,10/26/2015 11:00,0
10/26/2015 11:00,10/26/2015 12:00,0
10/26/2015 12:00,10/26/2015 13:00,0
10/26/2015 13:00,10/26/2015 14:00,0
10/26/2015 14:00,10/26/2015 15:00,0
10/26/2015 15:00,10/26/2015 16:00,0
10/26/2015 16:00,10/26/2015 17:00,111
10/26/2015 17:00,10/26/2015 18:00,213
10/26/2015 18:00,10/26/2015 19:00,41
10/26/2015 19:00,10/26/2015 20:00,0
10/26/2015 20:00,10/26/2015 21:00,53
10/26/2015 21:00,10/26/2015 22:00,39
10/26/2015 22:00,10/26/2015 23:00,0
10/26/2015 23:00,10/27/2015 0:00,0
10/27/2015 0:00,10/27/2015 1:00,0
10/27/2015 1:00,10/27/2015 2:00,0
10/27/2015 2:00,10/27/2015 3:00,0
10/27/2015 3:00,10/27/2015 4:00,0
10/27/2015 4:00,10/27/2015 5:00,0
10/27/2015 5:00,10/27/2015 6:00,0
10/27/2015 6:00,10/27/2015 7:00,0
10/27/2015 7:00,10/27/2015 8:00,168
10/27/2015 8:00,10/27/2015 9:00,0
10/27/2015 9:00,10/27/2015 10:00,78
10/27/2015 10:00,10/27/2015 11:00,0
10/27/2015 11:00,10/27/2015 12:00,137
10/27/2015 12:00,10/27/2015 13:00,0
10/27/2015 13:00,10/27/2015 14:00,0
10/27/2015 14:00,10/27/2015 15:00,0
10/27/2015 15:00,10/27/2015 16:00,0
10/27/2015 16:00,10/27/2015 17:00,156
10/27/2015 17:00,10/27/2015 18:00,0
10/27/2015 18:00,10/27/2015 19:00,0
10/27/2015 19:00,10/27/2015 20:00,0
10/27/2015 20:00,10/27/2015 21:00,0
10/27/2015 21:00,10/27/2015 22:00,0
10/27/2015 22:00,10/27/2015 23:00,0
10/27/2015 23:00,10/28/2015 0:00,0
10/28/2015 0:00,10/28/2015 1:00,0
10/28/2015 1:00,10/28/2015 2:00,0
10/28/2015 2:00,10/28/2015 3:00,0
10/28/2015 3:00,10/28/2015 4:00,0
10/28/2015 4:00,10/28/2015 5:00,0
10/28/2015 5:00,10/28/2015 6:00,0
10/28/2015 6:00,10/28/2015 7:00,0
10/28/2015 7:00,10/28/2015 8:00,162
10/28/2015 8:00,10/28/2015 9:00,88
10/28/2015 9:00,10/28/2015 10:00,0
10/28/2015 10:00,10/28/2015 11:00,0
10/28/2015 11:00,10/28/2015 12:00,0
10/28/2015 12:00,10/28/2015 13:00,0
10/28/2015 13:00,10/28/2015 14:00,0
10/28/2015 14:00,10/28/2015 15:00,0
10/28/2015 15:00,10/28/2015 16:00,0
10/28/2015 16:00,10/28/2015 17:00,198
10/28/2015 17:00,10/28/2015 18:00,0
10/28/2015 18:00,10/28/2015 19:00,107
10/28/2015 19:00,10/28/2015 20:00,0
